City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
351,Saint-Georges,GD,12.06,-61.75,86.0,79,40,13.87,scattered clouds,0,0
352,Ivybridge,GB,50.39,-3.92,60.01,83,32,3.56,scattered clouds,0,0
353,Urumqi,CN,43.8,87.6,69.8,49,100,6.71,light rain,0,0
354,Zimovniki,RU,47.15,42.46,78.64,46,64,3.33,light rain,0,0
355,Chapais,CA,49.78,-74.85,62.6,88,90,10.29,overcast clouds,0,0
356,Yenagoa,NG,4.92,6.26,74.41,94,95,3.47,overcast clouds,0,0
357,Luleburgaz,TR,41.4,27.36,68.0,64,0,9.17,clear sky,0,0
358,San Jose De Rio Tinto,HN,14.93,-85.7,82.36,58,66,6.4,broken clouds,0,0
359,Kajaani,FI,64.23,27.73,53.6,87,80,9.17,shower rain,0,0
360,Shakawe,BW,-18.37,21.85,47.5,42,0,4.18,clear sky,0,0
361,Puerto Narino,CO,-3.77,-70.38,86.0,70,40,3.36,scattered clouds,0,0
362,Srivardhan,IN,18.03,73.02,80.29,83,99,6.06,light rain,0,0
363,San Ignacio,BZ,17.16,-89.07,95.0,53,20,9.17,thunderstorm,0,0
364,Glubokiy,RU,48.52,40.33,70.14,71,81,12.33,broken clouds,0,0
365,Mundo Novo,BR,-11.86,-40.47,68.61,76,23,3.96,few clouds,0,0
366,Sabha,LY,27.04,14.43,86.81,22,2,14.14,clear sky,0,0
367,Cap Malheureux,MU,-19.98,57.61,72.0,74,5,5.99,light rain,0,0
368,Terrace Bay,CA,48.78,-87.1,69.8,60,75,3.36,broken clouds,0,0
369,Toamasina,MG,-18.17,49.38,66.2,93,40,2.24,shower rain,0,0
370,Marathon,US,44.9,-89.77,77.0,47,40,4.7,scattered clouds,0,0
371,Digha,IN,21.68,87.55,84.11,83,100,11.54,light rain,0,0
372,Guhagar,IN,17.48,73.19,79.3,84,99,4.05,light rain,0,0
373,Slonim,BY,53.09,25.32,49.53,93,0,6.73,clear sky,0,0
374,Santiago Del Estero,AR,-27.8,-64.26,62.56,51,99,6.8,overcast clouds,0,0
375,Henties Bay,NA,-22.12,14.28,55.0,93,0,7.74,clear sky,0,0
376,Gravdal,NO,68.12,13.5,50.0,87,20,5.82,few clouds,0,0
377,Filadelfia,US,39.95,-75.16,91.0,35,40,16.11,scattered clouds,0,0
378,Siilinjarvi,FI,63.08,27.67,55.4,82,92,2.24,overcast clouds,0,0
379,Nguru,NG,12.88,10.45,84.0,58,30,9.98,scattered clouds,0,0
380,Wagar,SD,16.15,36.2,84.52,55,96,28.54,overcast clouds,0,0
381,Taoudenni,ML,22.68,-3.98,97.7,29,58,9.69,broken clouds,0,0
382,Tal,PK,35.48,72.24,56.95,56,94,1.74,overcast clouds,0,0
383,Kalmunai,LK,7.42,81.82,81.48,78,100,3.76,overcast clouds,0,0
384,Sistranda,NO,63.73,8.83,51.8,81,75,14.99,shower rain,0,0
385,Beyneu,KZ,45.32,55.2,84.22,25,0,14.72,clear sky,0,0
386,Buta,CD,2.79,24.73,71.02,96,88,2.15,overcast clouds,0,0
387,Bayir,TR,37.27,28.22,73.4,78,0,2.24,clear sky,0,0
388,Igarka,RU,67.47,86.58,54.57,82,90,2.24,overcast clouds,0,0
389,Nacala,MZ,-14.54,40.67,68.59,92,0,7.45,clear sky,0,0
390,Naranjal,EC,-2.67,-79.62,84.99,62,40,8.05,scattered clouds,0,0
391,Mehamn,NO,71.04,27.85,46.4,87,75,5.82,broken clouds,0,0
392,Margate,GB,51.38,1.39,64.0,72,71,1.01,broken clouds,0,0
393,Reo,BF,12.32,-2.47,83.08,62,21,12.24,few clouds,0,0
394,Dutlwe,BW,-23.98,23.9,42.98,50,0,8.32,clear sky,0,0
395,Maceio,BR,-9.67,-35.74,73.4,83,20,4.7,few clouds,0,0
396,Bor,RU,56.36,44.07,64.4,88,0,4.16,clear sky,0,0
397,Abonnema,NG,4.71,6.79,75.0,91,90,4.32,overcast clouds,0,0
398,Garmsar,IR,35.22,52.34,85.28,28,73,12.71,broken clouds,0,0
399,Sur,OM,22.57,59.53,85.17,68,99,13.15,overcast clouds,0,0
400,Iberia,US,29.95,-91.75,96.01,59,1,12.75,clear sky,0,0
